#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
1	ул. Московская, д. 15, Назрань	1961	Нет	4 313.40
341	ул. Героя России А.Котиева, д. 4, Малгобек	Нет
#	Адрес	Дом признан аварийным
342	ул. Героя России А.Котиева, д. 6, Малгобек	Нет
#	Адрес	Дом признан аварийным
343	ул. Героя России А.Котиева, д. 8, Малгобек	Нет
#	Адрес	Дом признан аварийным
344	ул. Героя России А.Котиева, д. 9, Малгобек	Нет
#	Адрес	Дом признан аварийным
345	ул. Героя России А.Котиева, д. 10, Малгобек	Нет
#	Адрес	Дом признан аварийным
346	ул. Героя России А.Котиева, д. 11, Малгобек	Нет
#	Адрес	Дом признан аварийным
347	ул. Героя России А.Котиева, д. 12, Малгобек	Нет
